year,scenario,variable,mean,p05,p95,relative_to
2029,SSP1-2.6,GSAT_anomaly_C,1.439774723556736,1.232814777127772,1.678248808934593,1850-1900
2030,SSP1-2.6,GSAT_anomaly_C,1.46075354622364,1.246874652623126,1.708361560103295,1850-1900
2031,SSP1-2.6,GSAT_anomaly_C,1.480469949857439,1.259753185410536,1.737507884577618,1850-1900
2032,SSP1-2.6,GSAT_anomaly_C,1.49920018798334,1.270556296118229,1.765484912339368,1850-1900
2033,SSP1-2.6,GSAT_anomaly_C,1.517611006752081,1.281696377240185,1.792770565340573,1850-1900
2034,SSP1-2.6,GSAT_anomaly_C,1.534261346711688,1.291473976248474,1.820492619007286,1850-1900
2035,SSP1-2.6,GSAT_anomaly_C,1.549817927987848,1.299266307520687,1.843521653239898,1850-1900
2036,SSP1-2.6,GSAT_anomaly_C,1.565240879938803,1.30763527108229,1.867629645131355,1850-1900
2037,SSP1-2.6,GSAT_anomaly_C,1.57949181156022,1.315347228111829,1.893450366441964,1850-1900
2038,SSP1-2.6,GSAT_anomaly_C,1.594629591979877,1.323293168817735,1.917318028763874,1850-1900
2039,SSP1-2.6,GSAT_anomaly_C,1.609538328946998,1.331534995524952,1.940528662945321,1850-1900
2040,SSP1-2.6,GSAT_anomaly_C,1.622439625103694,1.339642934842982,1.96203603985282,1850-1900
2041,SSP1-2.6,GSAT_anomaly_C,1.635165952080778,1.346727777709477,1.983618275380664,1850-1900
2042,SSP1-2.6,GSAT_anomaly_C,1.647946032549904,1.35433454408424,2.00687161709963,1850-1900
2043,SSP1-2.6,GSAT_anomaly_C,1.660422853861697,1.359253626710285,2.029218992646163,1850-1900
2044,SSP1-2.6,GSAT_anomaly_C,1.669689911267048,1.364642584769328,2.049021984932874,1850-1900
2045,SSP1-2.6,GSAT_anomaly_C,1.679842347156302,1.370174478217329,2.067024313370522,1850-1900
2046,SSP1-2.6,GSAT_anomaly_C,1.690823895480779,1.375088308876302,2.082946783003566,1850-1900
2047,SSP1-2.6,GSAT_anomaly_C,1.700404272460811,1.378215358878151,2.112893037214537,1850-1900
2048,SSP1-2.6,GSAT_anomaly_C,1.7080199392076,1.381058223241025,2.12809185683861,1850-1900
2049,SSP1-2.6,GSAT_anomaly_C,1.716008714023579,1.384713231056415,2.142829160381956,1850-1900
2050,SSP1-2.6,GSAT_anomaly_C,1.723816298541179,1.385745589833195,2.156089668421872,1850-1900
2020,SSP2-4.5,GSAT_anomaly_C,1.229934511291803,1.100338789488446,1.377739358872148,1850-1900
2021,SSP2-4.5,GSAT_anomaly_C,1.255799225135755,1.119937782242221,1.412803966933381,1850-1900
2022,SSP2-4.5,GSAT_anomaly_C,1.281325570401344,1.138716512481406,1.447621289126446,1850-1900
2023,SSP2-4.5,GSAT_anomaly_C,1.306667293213803,1.154824296961826,1.48177929211348,1850-1900
2024,SSP2-4.5,GSAT_anomaly_C,1.332846258276053,1.171267595654264,1.51508760726553,1850-1900
2025,SSP2-4.5,GSAT_anomaly_C,1.357636731600403,1.183635069575731,1.548510258018096,1850-1900
2026,SSP2-4.5,GSAT_anomaly_C,1.381202411243138,1.201553500518716,1.581507169502703,1850-1900
